team_id,team_name,founded_year,stadium_id,short_name
19568,Bournemouth,1899,619094,BOU
9617,Arsenal,1886,163995,ARS
18711,Aston Villa,1874,175339,AVL
19571,Brentford,1889,1546623,BRE
19453,Brighton,1901,619409,BHA
9616,Chelsea,1905,171458,CHE
19467,Crystal Palace,1905,1066373,CRY
5794,Everton,1878,188874,EVE
18708,Fulham,1879,318043,FUL
9653,Ipswich Town,1878,619558,IPS
19481,Leicester City,1884,620031,LEI
1130849,Liverpool,1892,45671,LIV
50602,Manchester City,1894,48159,MCI
18656,Manchester utd,1878,83457,MUN
18716,Newcastle utd,1892,191774,NEW
19490,Nott'ham forest,1865,593446,NOT
18732,Southampton,1885,567339,SOU
18741,Tottenham,1882,55074091,TOT
18747,West ham,1895,172190,WHU
19500,Wolves,1877,380823,WOL
19446,Blackburn Rovers,1875,245085,BLA
19456,Bristol City,1897,726370,BRC
19458,Burnley,1882,683112,BUR
18660,Cardiff City,1899,503848,CAR
19580,Coventry City,1883,842077,COV
19470,Derby County,1884,201612,DER
19477,Hull City A.,1904,630160,HUL
1128631,Leeds United,1919,619505,LEE
18516,Luton Town,1885,1063683,LUT
18661,Middlesbrough,1876,822886,MID
19487,Millwall,1885,908481,MIL
18721,Norwich City,1902,123017,NOR
48946,Oxford United,1893,1672134,OXF
19499,Plymouth Argyle,1886,619350,PLY
19604,Portsmouth,1898,619531,POR
19612,Preston North End,1880,1141958,PNE
18723,Queens Park Rangers,1882,31670,QPR
19607,Sheffield utd,1889,897533,SHU
19498,Sheffield Wednesday,1867,642557,SHW
18736,Stoke City,1863,500922,STK
18739,Sunderland A.,1879,31969,SUN
18659,Swansea City A.,1912,580480,SWA
2714,Watford,1881,10626,WAT
18744,West brom,1878,31678,WBA
