season,game_id,team_id,opponent_id,round,venue,result,GF,GA,xG,xGA,Poss,captain_id,Formation,Opp Formation
2021,1,9617,18708,01,Away,W,3,0,1.9,0.1,54,21,3-4-3,4-2-3-1
2021,9,9617,18747,02,Home,W,2,1,1.1,2.0,62,21,3-4-3,5-4-1
2021,28,9617,1130849,03,Away,L,1,3,1.3,2.7,34,21,3-4-3,4-3-3
2021,37,9617,19607,04,Home,W,2,1,0.6,0.2,64,21,4-3-3,3-5-2
2021,41,9617,50602,05,Away,L,0,1,0.9,1.3,42,21,4-3-3,3-1-4-2
2021,56,9617,19481,06,Home,L,0,1,0.7,0.7,56,21,3-4-3,3-4-3
2021,63,9617,18656,07,Away,W,1,0,1.0,0.4,46,21,3-4-3,4-1-2-1-2
2021,75,9617,18711,08,Home,L,0,3,1.5,1.8,59,21,3-4-3,4-2-3-1
2021,84,9617,1128631,09,Away,D,0,0,0.9,1.8,34,21,4-2-3-1,4-1-4-1
2021,94,9617,19500,10,Home,L,1,2,1.5,1.8,56,21,4-2-3-1,4-2-3-1
2021,105,9617,18741,11,Away,L,0,2,0.6,0.3,69,21,4-2-3-1,4-2-3-1
2021,114,9617,19458,12,Home,L,0,1,1.6,1.4,65,21,4-2-3-1,4-4-1-1
2021,124,9617,18732,13,Home,D,1,1,0.6,1.2,36,21,3-4-3,4-4-2
2021,130,9617,5794,14,Away,L,1,2,1.4,0.6,57,23,3-4-3,4-2-3-1
2021,138,9617,9616,15,Home,W,3,1,2.0,2.6,40,13,4-2-3-1,4-3-3
2021,153,9617,19453,16,Away,W,1,0,1.1,0.8,50,21,4-2-3-1,3-5-2
2021,160,9617,18744,17,Away,W,4,0,3.7,1.0,61,21,4-2-3-1,4-4-1-1
2021,170,9617,19467,18,Home,D,0,0,0.4,0.8,67,21,4-2-3-1,4-4-2
2021,179,9617,18716,19,Home,W,3,0,2.4,0.2,66,21,4-2-3-1,4-4-2
2021,188,9617,18732,20,Away,W,3,1,2.2,0.8,42,13,4-2-3-1,4-4-2
2021,197,9617,18656,21,Home,D,0,0,0.9,1.6,43,13,4-2-3-1,4-2-3-1
2021,208,9617,19500,22,Away,L,1,2,0.8,1.5,45,13,4-2-3-1,4-2-3-1
2021,220,9617,18711,23,Away,L,0,1,0.8,1.2,65,13,4-2-3-1,4-2-3-1
2021,230,9617,1128631,24,Home,W,4,2,2.3,0.9,46,21,4-2-3-1,4-1-4-1
2021,243,9617,50602,25,Home,L,0,1,0.3,1.8,45,21,4-2-3-1,4-3-3
2021,254,9617,19481,26,Away,W,3,1,2.3,0.4,56,1,4-2-3-1,4-4-2
2021,269,9617,19458,27,Away,D,1,1,2.5,1.1,59,21,4-2-3-1,4-4-2
2021,282,9617,18741,28,Home,W,2,1,1.7,0.4,52,1,4-2-3-1,4-2-3-1
2021,289,9617,18747,29,Away,D,3,3,1.4,2.4,62,21,4-2-3-1,4-2-3-1
2021,293,9617,1130849,30,Home,L,0,3,0.1,2.4,36,21,4-2-3-1,4-3-3
2021,307,9617,19607,31,Away,W,3,0,1.7,0.3,55,1,4-2-3-1,3-5-2
2021,315,9617,18708,32,Home,D,1,1,2.7,0.9,69,13,4-2-3-1,4-4-2
2021,321,9617,5794,33,Home,L,0,1,0.8,0.5,59,23,4-2-3-1,4-2-3-1
2021,335,9617,18716,34,Away,W,2,0,2.0,0.3,61,21,4-2-3-1,5-3-2
2021,344,9617,18744,35,Home,W,3,1,0.9,1.8,65,23,4-2-3-1,4-4-1-1
2021,350,9617,9616,36,Away,W,1,0,0.6,1.8,33,21,3-4-3,3-4-3
2021,366,9617,19467,37,Away,W,3,1,1.8,1.0,68,21,4-2-3-1,4-3-3
2021,378,9617,19453,38,Home,W,2,0,0.8,0.2,54,21,4-2-3-1,4-3-3
2021,18,18711,19607,02,Home,W,1,0,1.0,0.9,71,37,4-3-3,3-5-2
2021,27,18711,18708,03,Away,W,3,0,1.4,0.7,36,37,4-3-3,3-4-3
2021,38,18711,1130849,04,Home,W,7,2,2.7,1.8,31,37,4-2-3-1,4-3-3
2021,43,18711,19481,05,Away,W,1,0,0.7,0.6,50,37,4-2-3-1,4-1-4-1
2021,49,18711,1128631,06,Home,L,0,3,1.4,2.7,41,37,4-2-3-1,4-4-1-1
2021,65,18711,18732,07,Home,L,3,4,1.9,0.7,56,37,4-2-3-1,4-4-2
2021,75,18711,9617,08,Away,W,3,0,1.8,1.5,41,37,4-2-3-1,3-4-3
2021,79,18711,19453,09,Home,L,1,2,1.5,1.4,56,37,4-2-3-1,3-4-1-2
2021,97,18711,18747,10,Away,L,1,2,2.5,0.4,66,37,4-3-3,3-4-3
2021,110,18711,19500,12,Away,W,1,0,1.4,1.1,50,37,4-3-3,4-2-3-1
2021,126,18711,19458,13,Home,D,0,0,1.5,0.3,59,37,4-2-3-1,4-4-2
2021,133,18711,18744,14,Away,W,3,0,2.4,0.0,67,37,4-2-3-1,4-1-4-1
2021,141,18711,19467,15,Home,W,3,0,3.9,0.9,39,37,4-2-3-1,4-4-2
2021,148,18711,9616,16,Away,D,1,1,0.7,1.7,37,37,4-2-3-1,4-3-3
2021,156,18711,18656,17,Away,L,1,2,1.4,2.1,52,37,4-2-3-1,4-2-3-1
2021,183,18711,50602,01,Away,L,0,2,0.6,3.4,31,37,4-2-3-1,4-3-3
2021,185,18711,18716,11,Home,W,2,0,2.3,0.5,58,37,4-2-3-1,5-3-2
2021,190,18711,19458,20,Away,L,2,3,2.2,0.5,61,37,4-2-3-1,4-4-2
2021,200,18711,18732,21,Away,W,1,0,0.6,1.9,41,37,4-2-3-1,4-4-2
2021,210,18711,18747,22,Home,L,1,3,0.7,1.7,56,37,4-2-3-1,4-2-3-1
2021,220,18711,9617,23,Home,W,1,0,1.2,0.8,35,37,4-2-3-1,4-2-3-1
2021,228,18711,19453,24,Away,D,0,0,0.1,2.2,42,37,4-2-3-1,4-1-3-2
2021,244,18711,19481,25,Home,L,1,2,1.4,1.1,51,51,4-2-3-1,4-2-3-1
2021,252,18711,1128631,26,Away,W,1,0,0.7,0.9,31,51,4-3-3,4-1-4-1
2021,261,18711,19607,29,Away,L,0,1,2.3,0.9,72,51,4-3-3,3-5-2
2021,266,18711,19500,27,Home,D,0,0,0.6,1.6,49,51,4-3-3,3-4-3
2021,277,18711,18716,28,Away,D,1,1,0.9,1.5,51,51,4-3-3,4-3-3
2021,290,18711,18741,18,Home,L,0,2,0.4,1.8,50,51,4-2-3-1,4-4-2
2021,296,18711,18708,30,Home,W,3,1,1.5,1.0,53,51,4-2-3-1,4-2-3-1
2021,304,18711,1130849,31,Away,L,1,2,0.5,2.3,35,51,4-3-3,4-3-3
2021,318,18711,50602,32,Home,L,1,2,0.7,1.2,28,51,4-1-4-1,4-3-3
2021,327,18711,18744,33,Home,D,2,2,3.2,1.5,70,51,4-2-3-1,4-1-4-1
2021,332,18711,5794,34,Away,W,2,1,1.6,1.0,53,51,4-2-3-1,4-2-3-1
2021,346,18711,18656,35,Home,L,1,3,0.5,1.7,41,51,4-2-3-1,4-2-3-1
2021,351,18711,5794,19,Home,D,0,0,0.6,1.0,58,51,4-2-3-1,4-4-2
