,player,pos,nation,born
2,Ainsley Maitland-Niles,"MF,DF",ENG,1997
3,Alexandre Lacazette,FW,FRA,1991
4,Bernd Leno,GK,GER,1992
5,Bukayo Saka,"FW,MF",ENG,2001
6,Calum Chambers,DF,ENG,1995
7,Cédric Soares,DF,POR,1991
8,Dani Ceballos,MF,ESP,1996
9,David Luiz,DF,BRA,1987
10,Eddie Nketiah,FW,ENG,1999
11,Emile Smith Rowe,"MF,FW",ENG,2000
12,Gabriel Magalhães,DF,BRA,1997
13,Gabriel Martinelli,FW,BRA,2001
14,Granit Xhaka,"MF,DF",SUI,1992
15,Héctor Bellerín,"DF,MF",ESP,1995
16,Joe Willock,MF,ENG,1999
17,Kieran Tierney,DF,SCO,1997
18,Martin Ødegaard,MF,NOR,1998
19,Mathew Ryan,GK,AUS,1992
20,Mohamed Elneny,MF,EGY,1992
21,Nicolas Pépé,FW,CIV,1995
22,Pablo Marí,DF,ESP,1993
23,Pierre-Emerick Aubameyang,FW,GAB,1989
24,Reiss Nelson,"FW,MF",ENG,1999
25,Rob Holding,DF,ENG,1995
26,Rúnar Alex Rúnarsson,GK,ISL,1995
27,Sead Kolašinac,DF,BIH,1993
28,Shkodran Mustafi,DF,GER,1992
29,Thomas Partey,MF,GHA,1993
30,Willian,FW,BRA,1988
31,Ahmed Elmohamady,DF,EGY,1987
32,Anwar El Ghazi,FW,NED,1995
33,Bertrand Traoré,FW,BFA,1995
34,Carney Chukwuemeka,"MF,FW",ENG,2003
35,Conor Hourihane,MF,IRL,1991
36,Douglas Luiz,MF,BRA,1998
37,Emiliano Martínez,GK,ARG,1992
38,Ezri Konsa,DF,ENG,1997
39,Jack Grealish,"FW,MF",ENG,1995
40,Jacob Ramsey,MF,ENG,2001
41,Jaden Philogene Bidace,FW,ENG,2002
42,John McGinn,MF,SCO,1994
43,Keinan Davis,"FW,MF",ENG,1998
44,Kortney Hause,DF,ENG,1995
45,Marvelous Nakamba,MF,ZIM,1994
46,Matt Targett,DF,ENG,1995
47,Matty Cash,DF,POL,1997
48,Morgan Sanson,MF,FRA,1994
49,Neil Taylor,DF,WAL,1989
50,Ollie Watkins,FW,ENG,1995
51,Ross Barkley,MF,ENG,1993
52,Trézéguet,FW,EGY,1994
53,Tyrone Mings,DF,ENG,1993
54,Wesley Moraes,FW,BRA,1996
55,Aaron Connolly,FW,IRL,2000
56,Adam Lallana,"MF,FW",ENG,1988
57,Adam Webster,DF,ENG,1995
58,Alexis Mac Allister,"MF,FW",ARG,1998
59,Alireza Jahanbakhsh,"FW,MF",IRN,1993
60,Andi Zeqiri,"FW,DF",SUI,1999
61,Ben White,"DF,MF",ENG,1997
62,Bernardo,"DF,MF",BRA,1995
63,Dan Burn,DF,ENG,1992
64,Danny Welbeck,FW,ENG,1990
65,Davy Pröpper,MF,NED,1991
66,Jakub Moder,"DF,MF",POL,1999
67,Jayson Molumby,MF,IRL,1999
68,José Izquierdo,DF,COL,1992
69,Joël Veltman,DF,NED,1992
70,Leandro Trossard,"MF,FW",BEL,1994
71,Lewis Dunk,DF,ENG,1991
73,Neal Maupay,"FW,MF",FRA,1996
74,Pascal Groß,"MF,DF",GER,1991
75,Percy Tau,FW,RSA,1994
76,Reda Khadra,MF,GER,2001
77,Robert Sánchez,GK,ESP,1997
78,Solly March,"DF,MF",ENG,1994
79,Steven Alzate,MF,COL,1998
80,Tariq Lamptey,"DF,MF",GHA,2000
81,Yves Bissouma,MF,MLI,1996
82,Ashley Barnes,FW,ENG,1989
83,Ashley Westwood,MF,ENG,1990
84,Bailey Peacock-Farrell,GK,NIR,1996
85,Ben Mee,DF,ENG,1989
86,Charlie Taylor,DF,ENG,1993
87,Chris Wood,FW,NZL,1991
88,Dale Stephens,MF,ENG,1989
89,Dwight McNeil,MF,ENG,1999
90,Erik Pieters,"DF,MF",NED,1988
91,Jack Cork,MF,ENG,1989
92,James Tarkowski,DF,ENG,1992
93,Jay Rodriguez,FW,ENG,1989
94,Jimmy Dunne,DF,IRL,1997
95,Joel Mumbongo,FW,SWE,1999
96,Josh Benson,MF,ENG,1999
97,Josh Brownhill,MF,ENG,1995
98,Jóhann Berg Guðmundsson,MF,ISL,1990
99,Kevin Long,DF,IRL,1990
100,Lewis Richardson,"FW,MF",ENG,2003
101,Matthew Lowton,DF,ENG,1989
102,Matěj Vydra,FW,CZE,1992
103,Nick Pope,GK,ENG,1992
104,Phil Bardsley,DF,SCO,1985
105,Robbie Brady,MF,IRL,1992
106,Will Norris,GK,ENG,1993
107,Andreas Christensen,DF,DEN,1996
108,Antonio Rüdiger,DF,GER,1993
109,Ben Chilwell,DF,ENG,1996
110,Billy Gilmour,MF,SCO,2001
111,Callum Hudson-Odoi,"FW,DF",ENG,2000
112,Christian Pulisic,"FW,MF",USA,1998
113,César Azpilicueta,DF,ESP,1989
114,Edouard Mendy,GK,SEN,1992
115,Emerson Palmieri,DF,ITA,1994
116,Fikayo Tomori,DF,ENG,1997
117,Hakim Ziyech,"MF,FW",MAR,1993
118,Jorginho,MF,ITA,1991
119,Kai Havertz,"MF,FW",GER,1999
120,Kepa Arrizabalaga,GK,ESP,1994
121,Kurt Zouma,DF,FRA,1994
122,Marcos Alonso,DF,ESP,1990
123,Mason Mount,MF,ENG,1999
124,Mateo Kovačić,MF,CRO,1994
125,N'Golo Kanté,MF,FRA,1991
126,Olivier Giroud,FW,FRA,1986
127,Reece James,DF,ENG,1999
128,Ross Barkley,"FW,MF",ENG,1993
129,Ruben Loftus-Cheek,FW,ENG,1996
130,Tammy Abraham,FW,ENG,1997
131,Thiago Silva,DF,BRA,1984
132,Timo Werner,"FW,MF",GER,1996
133,Willy Caballero,GK,ARG,1981
134,Andros Townsend,"MF,FW",ENG,1991
135,Cheikhou Kouyaté,DF,SEN,1989
136,Christian Benteke,FW,BEL,1990
137,Eberechi Eze,MF,ENG,1998
138,Gary Cahill,DF,ENG,1985
139,Jack Butland,GK,ENG,1993
140,James McArthur,MF,SCO,1987
141,James McCarthy,MF,IRL,1990
142,James Tomkins,DF,ENG,1989
143,Jaïro Riedewald,MF,NED,1996
144,Jean-Philippe Mateta,FW,FRA,1997
145,Jeffrey Schlupp,MF,GHA,1992
146,Joel Ward,DF,ENG,1989
147,Jordan Ayew,"FW,MF",GHA,1991
148,Luka Milivojević,MF,SRB,1991
149,Mamadou Sakho,DF,FRA,1990
150,Martin Kelly,DF,ENG,1990
151,Michy Batshuayi,FW,BEL,1993
152,Nathaniel Clyne,DF,ENG,1991
153,Patrick van Aanholt,DF,NED,1990
154,Scott Dann,DF,ENG,1987
155,Tyrick Mitchell,DF,ENG,1999
156,Vicente Guaita,GK,ESP,1987
157,Wilfried Zaha,FW,CIV,1992
158,Abdoulaye Doucouré,MF,MLI,1993
159,Alex Iwobi,"FW,MF",NGA,1996
160,Allan,MF,BRA,1991
161,André Gomes,MF,POR,1993
162,Anthony Gordon,"FW,MF",ENG,2001
163,Ben Godfrey,DF,ENG,1998
164,Bernard,"MF,FW",BRA,1992
165,Cenk Tosun,FW,TUR,1991
166,Dominic Calvert-Lewin,FW,ENG,1997
167,Fabian Delph,"MF,DF",ENG,1989
168,Gylfi Sigurðsson,"MF,FW",ISL,1989
169,James Rodríguez,"FW,MF",COL,1991
170,Jean-Philippe Gbamin,MF,CIV,1995
171,Jonjoe Kenny,DF,ENG,1997
172,Jordan Pickford,GK,ENG,1994
173,Joshua King,"MF,FW",NOR,1992
174,João Virgínia,GK,POR,1999
175,Lucas Digne,"DF,MF",FRA,1993
176,Mason Holgate,DF,JAM,1996
177,Michael Keane,DF,ENG,1993
178,Moise Kean,"FW,MF",ITA,2000
179,Nathan Broadhead,FW,WAL,1998
180,Niels Nkounkou,"DF,FW",FRA,2000
181,Richarlison,FW,BRA,1997
182,Robin Olsen,GK,SWE,1990
183,Séamus Coleman,"DF,MF",IRL,1988
184,Theo Walcott,FW,ENG,1989
185,Tom Davies,MF,ENG,1998
186,Yerry Mina,DF,COL,1994
187,Aboubakar Kamara,"FW,MF",MTN,1995
188,Ademola Lookman,"FW,MF",NGA,1997
189,Aleksandar Mitrović,FW,SRB,1994
190,Alphonse Areola,GK,FRA,1993
191,Andre-Frank Zambo Anguissa,MF,CMR,1995
192,Antonee Robinson,DF,USA,1997
193,Bobby De Cordova-Reid,"MF,FW",JAM,1993
194,Denis Odoi,DF,GHA,1988
