ngay_thi_dau,gio_bat_dau,home_team,away_team,home_score,away_score,referee,venue,roud,source_url,Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Total shots_home,Total shots_away,Shots on target_home,Shots on target_away,Big Chances_home,Big Chances_away,Corner Kicks_home,Corner Kicks_away,Passes_home,Passes_away,Yellow Cards_home,Yellow Cards_away,xG on target (xGOT)_home,xG on target (xGOT)_away,Shots off target_home,Shots off target_away,Blocked Shots_home,Blocked Shots_away,Shots inside the Box_home,Shots inside the Box_away,Shots outside the Box_home,Shots outside the Box_away,Hit the Woodwork_home,Hit the Woodwork_away,Touches in opposition box_home,Touches in opposition box_away,Accurate through passes_home,Accurate through passes_away,Offsides_home,Offsides_away,Free Kicks_home,Free Kicks_away,Long passes_home,Long passes_away,Passes in final third_home,Passes in final third_away,Crosses_home,Crosses_away,Expected assists (xA)_home,Expected assists (xA)_away,Throw-ins_home,Throw-ins_away,Fouls_home,Fouls_away,Tackles_home,Tackles_away,Duels won_home,Duels won_away,Clearances_home,Clearances_away,Interceptions_home,Interceptions_away,Errors leading to shot_home,Errors leading to shot_away,Errors leading to goal_home,Errors leading to goal_away,Goalkeeper Saves_home,Goalkeeper Saves_away,xGOT faced_home,xGOT faced_away,Goals prevented_home,Goals prevented_away,Red Cards_home,Red Cards_away,Headed Goals_home,Headed Goals_away
25.05.2025,22:00,Bournemouth,Leicester,2,0,Smith L.,Vitality Stadium,PREMIER LEAGUE - ROUND 38,,1.79,0.27,63%,37%,20,3,7,0,6.0,0.0,6,1,82%,74%,0.0,2.0,2.35,0.0,7,3,6,0,10.0,2.0,10.0,1.0,0.0,0.0,53.0,13.0,1.0,0.0,2,2,16,19,33%,31%,74%,59%,32%,25%,1.92,0.43,23,9,19,16,67%,65%,64.0,54.0,9.0,29.0,8.0,6.0,0.0,0.0,0.0,1.0,0,5,0.0,2.35,0.0,0.35,,,,
25.05.2025,22:00,Fulham,Manchester City,0,2,Madley A.,Craven Cottage,PREMIER LEAGUE - ROUND 38,,1.74,2.84,47%,53%,13,20,3,5,5.0,2.0,1,6,84%,86%,,,1.29,2.55,6,7,4,8,11.0,16.0,2.0,4.0,0.0,0.0,32.0,46.0,1.0,0.0,2,0,5,11,53%,61%,64%,71%,46%,17%,0.58,1.15,16,17,11,5,47%,64%,40.0,41.0,29.0,14.0,11.0,13.0,0.0,1.0,0.0,0.0,3,3,2.55,1.29,0.55,1.29,,,,
25.05.2025,22:00,Ipswich,West Ham,1,3,Robinson T.,Portman Road,PREMIER LEAGUE - ROUND 38,,0.79,1.01,41%,59%,14,10,4,6,1.0,1.0,4,0,84%,87%,1.0,1.0,0.25,1.82,5,1,5,3,10.0,7.0,4.0,3.0,0.0,0.0,32.0,16.0,0.0,0.0,2,1,9,10,56%,39%,79%,70%,14%,22%,0.55,0.59,17,18,10,9,67%,40%,42.0,56.0,25.0,34.0,10.0,9.0,0.0,1.0,1.0,0.0,3,3,1.82,0.25,-1.18,-0.75,,,,
25.05.2025,22:00,Liverpool,Crystal Palace,1,1,England D.,Anfield,PREMIER LEAGUE - ROUND 38,,2.17,1.75,69%,31%,14,8,3,5,4.0,2.0,11,0,87%,71%,2.0,0.0,1.46,2.48,7,2,4,1,12.0,6.0,2.0,2.0,1.0,1.0,34.0,15.0,2.0,0.0,1,2,10,7,54%,34%,74%,49%,15%,33%,1.53,0.81,16,10,7,10,58%,53%,48.0,43.0,17.0,51.0,11.0,16.0,0.0,0.0,0.0,0.0,4,2,2.48,1.46,1.48,0.46,1.0,0.0,,
25.05.2025,22:00,Manchester Utd,Aston Villa,2,0,Bramall T.,Old Trafford,PREMIER LEAGUE - ROUND 38,,2.86,0.4,67%,33%,24,6,10,1,4.0,0.0,4,3,88%,73%,2.0,2.0,3.11,0.04,13,2,1,3,13.0,4.0,12.0,2.0,1.0,0.0,51.0,18.0,3.0,0.0,5,3,10,10,68%,31%,82%,60%,33%,0%,1.93,0.27,12,8,10,10,79%,44%,47.0,39.0,21.0,20.0,7.0,5.0,1.0,1.0,0.0,0.0,1,8,0.04,3.11,0.04,1.11,0.0,1.0,1.0,0.0
25.05.2025,22:00,Newcastle,Everton,0,1,Harrington T.,St. James' Park,PREMIER LEAGUE - ROUND 38,,1.27,0.9,66%,34%,17,14,6,6,1.0,1.0,12,3,87%,78%,1.0,4.0,2.15,1.08,7,6,4,2,10.0,9.0,7.0,5.0,0.0,0.0,28.0,13.0,0.0,0.0,0,0,9,12,47%,44%,76%,55%,31%,27%,0.87,0.29,22,16,12,9,80%,67%,41.0,50.0,22.0,25.0,1.0,12.0,2.0,0.0,0.0,0.0,5,6,1.08,2.15,0.04,2.15,,,0.0,1.0
25.05.2025,22:00,Nottingham,Chelsea,0,1,Taylor A.,City Ground,PREMIER LEAGUE - ROUND 38,,1.35,1.07,52%,48%,10,6,2,2,2.0,3.0,7,4,84%,80%,2.0,2.0,0.14,1.09,4,2,4,2,8.0,4.0,2.0,2.0,0.0,0.0,28.0,9.0,1.0,0.0,5,1,11,10,46%,25%,70%,64%,21%,8%,0.85,0.65,25,17,10,11,64%,63%,36.0,38.0,22.0,36.0,4.0,4.0,0.0,1.0,1.0,0.0,1,2,1.09,0.14,0.09,0.14,,,,
25.05.2025,22:00,Southampton,Arsenal,1,2,Bond D.,St. Mary's Stadium,PREMIER LEAGUE - ROUND 38,,0.63,2.2,39%,61%,7,23,2,8,0.0,3.0,5,8,81%,91%,,,1.11,1.48,2,5,3,10,5.0,16.0,2.0,7.0,0.0,0.0,17.0,38.0,0.0,1.0,1,0,8,7,37%,64%,58%,88%,27%,21%,0.52,2.05,12,14,7,8,44%,22%,51.0,48.0,28.0,23.0,5.0,2.0,0.0,1.0,0.0,0.0,6,1,1.48,1.11,-0.52,0.11,,,1.0,0.0
25.05.2025,22:00,Tottenham,Brighton,1,4,Jones R.,Tottenham Hotspur Stadium,PREMIER LEAGUE - ROUND 38,,1.95,2.27,32%,68%,4,24,2,9,3.0,4.0,2,11,77%,90%,3.0,1.0,1.55,4.05,1,7,1,8,4.0,18.0,0.0,5.0,0.0,1.0,10.0,46.0,0.0,1.0,1,2,8,13,39%,59%,40%,81%,0%,36%,0.25,1.37,21,10,13,8,50%,79%,33.0,54.0,39.0,7.0,9.0,7.0,1.0,0.0,0.0,0.0,5,1,4.05,1.55,-0.04,0.55,,,,
25.05.2025,22:00,Wolves,Brentford,1,1,Pawson C.,Molineux Stadium,PREMIER LEAGUE - ROUND 38,,1.12,1.43,48%,52%,18,13,6,7,1.0,3.0,8,3,81%,84%,2.0,1.0,0.78,2.11,8,5,4,1,8.0,11.0,10.0,2.0,0.0,1.0,34.0,27.0,1.0,0.0,3,1,9,7,42%,52%,76%,63%,19%,31%,0.74,0.62,23,19,7,9,64%,59%,66.0,45.0,23.0,21.0,5.0,6.0,1.0,1.0,1.0,0.0,6,5,2.11,0.78,1.11,-0.22,,,,
21.05.2025,02:00,Crystal Palace,Wolves,4,2,Webb D.,Selhurst Park,PREMIER LEAGUE - ROUND 37,,1.69,1.52,32%,68%,14,12,10,3,2.0,2.0,0,9,73%,87%,1.0,2.0,3.58,1.88,4,3,0,6,11.0,8.0,3.0,4.0,0.0,0.0,20.0,20.0,1.0,0.0,2,0,8,14,34%,44%,56%,69%,50%,29%,0.96,0.77,18,30,14,8,55%,67%,41.0,46.0,30.0,15.0,6.0,2.0,0.0,0.0,0.0,0.0,1,6,1.88,3.58,-0.12,-0.42,,,0.0,2.0
21.05.2025,02:00,Manchester City,Bournemouth,3,1,Bramall T.,Etihad Stadium,PREMIER LEAGUE - ROUND 37,,1.6,1.06,58%,42%,12,8,5,2,2.0,2.0,3,1,90%,85%,1.0,3.0,1.48,0.63,5,4,2,2,5.0,6.0,7.0,2.0,1.0,1.0,20.0,16.0,2.0,0.0,2,3,13,7,55%,44%,84%,71%,29%,33%,1.11,0.36,14,14,7,13,44%,55%,28.0,26.0,19.0,25.0,6.0,5.0,2.0,0.0,1.0,1.0,1,2,0.63,1.48,-0.19,-1.52,1.0,1.0,,
20.05.2025,02:00,Brighton,Liverpool,3,2,Madley A.,Amex Stadium,PREMIER LEAGUE - ROUND 37,,2.34,2.11,49%,51%,25,18,12,5,2.0,3.0,3,3,87%,87%,1.0,0.0,3.87,1.45,9,6,4,7,17.0,12.0,8.0,6.0,0.0,0.0,60.0,45.0,2.0,0.0,2,1,8,9,65%,48%,83%,74%,21%,14%,2.24,1.54,17,15,9,8,46%,25%,54.0,29.0,13.0,24.0,6.0,8.0,1.0,1.0,0.0,0.0,3,9,1.45,3.87,-0.55,0.87,,,,
18.05.2025,22:30,Arsenal,Newcastle,1,0,Hooper S.,Emirates Stadium,PREMIER LEAGUE - ROUND 37,,0.65,1.6,52%,48%,12,14,4,5,1.0,3.0,10,7,82%,83%,3.0,3.0,1.41,1.73,3,3,5,6,7.0,10.0,5.0,4.0,0.0,0.0,33.0,33.0,0.0,1.0,0,0,9,9,38%,38%,74%,74%,33%,14%,0.56,0.97,18,21,9,9,59%,65%,49.0,51.0,28.0,26.0,6.0,7.0,3.0,0.0,0.0,1.0,5,3,1.73,1.41,1.32,0.41,,,,
18.05.2025,21:00,Brentford,Fulham,2,3,Gillett J.,Brentford Community Stadium,PREMIER LEAGUE - ROUND 37,,3.0,0.95,50%,50%,11,16,6,7,4.0,2.0,5,3,78%,85%,4.0,4.0,2.84,1.81,3,0,2,9,10.0,9.0,1.0,7.0,0.0,0.0,34.0,17.0,3.0,0.0,0,0,8,12,42%,46%,62%,84%,21%,32%,0.78,0.51,18,10,12,8,64%,67%,41.0,52.0,15.0,36.0,4.0,5.0,1.0,2.0,0.0,1.0,4,4,1.81,2.84,-1.19,0.56,,,0.0,2.0
18.05.2025,21:00,Leicester,Ipswich,2,0,Kitchen A.,King Power Stadium,PREMIER LEAGUE - ROUND 37,,0.7,1.56,51%,49%,9,20,3,2,0.0,1.0,2,2,85%,86%,1.0,0.0,0.71,0.28,4,9,2,9,8.0,16.0,1.0,4.0,1.0,1.0,12.0,31.0,0.0,0.0,0,4,12,15,37%,42%,65%,73%,0%,50%,0.24,1.13,16,25,15,12,71%,73%,48.0,58.0,14.0,18.0,7.0,3.0,1.0,0.0,0.0,1.0,2,1,0.28,0.71,0.28,-1.29,,,,
